carrier_1,carrier_2,technology_3,parameter,value
electricity,,,costLss,1300
crudeOil,,,costLss,1300
refinedOil,,,costLss,1300
avaAndNavi,,,costLss,1300
gasFuel,,,costLss,1300
rawBiogas,,,costLss,200
otherBiomass,nonSolidBiomass,,costLss,1300
otherBiomass,solidBiomass,,costLss,1300
districtHeat,,,costLss,1300
processHeat_low,,,costLss,1300
processHeat_high,,,costLss,1300
processHeat_medium,,,costLss,1300
capturedCO2,,,costLss,50000
frtRoadHeavy,,,costMissCapa,500000
frtRoadLight,,,costMissCapa,500000
frtRail,,,costMissCapa,500000
psngRail,,,costMissCapa,500000
psngRoadPrvt,,,costMissCapa,500000
psngRoadPub,,,costMissCapa,500000
processHeat_low,,,costMissCapa,500000
processHeat_medium,,,costMissCapa,500000
processHeat_high,,,costMissCapa,500000
spaceHeat,,,costMissCapa,500000
,,,emissionInf,10000
