technology_3,region_4,mode,parameter,value
impH2Ship,23FR,,capaConvFix,0
impH2Ship,24FR,,capaConvFix,0
impH2Ship,25FR,,capaConvFix,0
impH2Ship,26FR,,capaConvFix,0
impH2Ship,27FR,,capaConvFix,0
impH2Ship,32DE,,capaConvFix,0
impH2Ship,33DE,,capaConvFix,0
impH2Ship,34DE,,capaConvFix,0
impH2Ship,35DE,,capaConvFix,0
impH2Ship,36DE,,capaConvFix,0
impH2Ship,37DE,,capaConvFix,0
impH2Ship,47CH,,capaConvFix,0
impH2Ship,48CH,,capaConvFix,0
impH2Ship,49AT,,capaConvFix,0
impH2Ship,50AT,,capaConvFix,0
impH2Ship,51AT,,capaConvFix,0
impH2Ship,52IT,,capaConvFix,0
impH2Ship,53IT,,capaConvFix,0
impH2Ship,54IT,,capaConvFix,0
impH2Ship,55IT,,capaConvFix,0
impH2Ship,56IT,,capaConvFix,0
impH2Ship,98IT,,capaConvFix,0
impH2Ship,99FR,,capaConvFix,0
impMethane,14FR,,capaConvFix,0
impMethane,15FR,,capaConvFix,0
impMethane,16FR,,capaConvFix,0
impMethane,17FR,,capaConvFix,0
impMethane,18FR,,capaConvFix,0
impMethane,19FR,,capaConvFix,0
impMethane,20FR,,capaConvFix,0
impMethane,21FR,,capaConvFix,0
impMethane,22FR,,capaConvFix,0
impMethane,23FR,,capaConvFix,0
impMethane,24FR,,capaConvFix,0
impMethane,25FR,,capaConvFix,0
impMethane,26FR,,capaConvFix,0
impMethane,27FR,,capaConvFix,0
impMethane,32DE,,capaConvFix,0
impMethane,33DE,,capaConvFix,0
impMethane,34DE,,capaConvFix,0
impMethane,35DE,,capaConvFix,0
impMethane,36DE,,capaConvFix,0
impMethane,37DE,,capaConvFix,0
impMethane,47CH,,capaConvFix,0
impMethane,48CH,,capaConvFix,0
impMethane,49AT,,capaConvFix,0
impMethane,50AT,,capaConvFix,0
impMethane,51AT,,capaConvFix,0
impMethane,52IT,,capaConvFix,0
impMethane,53IT,,capaConvFix,0
impMethane,54IT,,capaConvFix,0
impMethane,55IT,,capaConvFix,0
impMethane,56IT,,capaConvFix,0
impMethane,98IT,,capaConvFix,0
impMethane,99FR,,capaConvFix,0
impMethanol,14FR,,capaConvFix,0
impMethanol,15FR,,capaConvFix,0
impMethanol,16FR,,capaConvFix,0
impMethanol,17FR,,capaConvFix,0
impMethanol,18FR,,capaConvFix,0
impMethanol,19FR,,capaConvFix,0
impMethanol,20FR,,capaConvFix,0
impMethanol,21FR,,capaConvFix,0
impMethanol,22FR,,capaConvFix,0
impMethanol,23FR,,capaConvFix,0
impMethanol,24FR,,capaConvFix,0
impMethanol,25FR,,capaConvFix,0
impMethanol,26FR,,capaConvFix,0
impMethanol,27FR,,capaConvFix,0
impMethanol,32DE,,capaConvFix,0
impMethanol,33DE,,capaConvFix,0
impMethanol,34DE,,capaConvFix,0
impMethanol,35DE,,capaConvFix,0
impMethanol,36DE,,capaConvFix,0
impMethanol,37DE,,capaConvFix,0
impMethanol,47CH,,capaConvFix,0
impMethanol,48CH,,capaConvFix,0
impMethanol,49AT,,capaConvFix,0
impMethanol,50AT,,capaConvFix,0
impMethanol,51AT,,capaConvFix,0
impMethanol,52IT,,capaConvFix,0
impMethanol,53IT,,capaConvFix,0
impMethanol,54IT,,capaConvFix,0
impMethanol,55IT,,capaConvFix,0
impMethanol,56IT,,capaConvFix,0
impMethanol,98IT,,capaConvFix,0
impMethanol,99FR,,capaConvFix,0
impOil,14FR,,capaConvFix,0
impOil,15FR,,capaConvFix,0
impOil,16FR,,capaConvFix,0
impOil,17FR,,capaConvFix,0
impOil,18FR,,capaConvFix,0
impOil,19FR,,capaConvFix,0
impOil,20FR,,capaConvFix,0
impOil,21FR,,capaConvFix,0
impOil,22FR,,capaConvFix,0
impOil,23FR,,capaConvFix,0
impOil,24FR,,capaConvFix,0
impOil,25FR,,capaConvFix,0
impOil,26FR,,capaConvFix,0
impOil,27FR,,capaConvFix,0
impOil,32DE,,capaConvFix,0
impOil,33DE,,capaConvFix,0
impOil,34DE,,capaConvFix,0
impOil,35DE,,capaConvFix,0
impOil,36DE,,capaConvFix,0
impOil,37DE,,capaConvFix,0
impOil,47CH,,capaConvFix,0
impOil,48CH,,capaConvFix,0
impOil,49AT,,capaConvFix,0
impOil,50AT,,capaConvFix,0
impOil,51AT,,capaConvFix,0
impOil,52IT,,capaConvFix,0
impOil,53IT,,capaConvFix,0
impOil,54IT,,capaConvFix,0
impOil,55IT,,capaConvFix,0
impOil,56IT,,capaConvFix,0
impOil,98IT,,capaConvFix,0
impOil,99FR,,capaConvFix,0
methaneToGas,31DE,,capaConvResi,1
methanolToOil,31DE,,capaConvResi,1
