technology_1,technology_2,technology_3,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4,source
battery,,lithiumBattery,costExpStIn,80.9,costOprStIn,1.21,costExpStSize,199.6,costOprStSize,2.99,
battery,,redoxBattery,costExpStIn,614,costOprStIn,9.21,costExpStSize,174.5,costOprStSize,2.62,
battery,,lithiumBattery,effStIn,0.943,effStOut,0.943,stDis,0.00005,,,
battery,,redoxBattery,effStIn,0.719,effStOut,0.719,stDis,0.00005,,,
battery,,,lifeStIn,10,,,,,,,
battery,,,lifeStOut,10,,,,,,,
battery,,,lifeStSize,10,,,,,,,
battery,,,stOutToStInFix,1,,,,,,,
battery,,,sizeToStOutLow,0.1,,,,,,,
battery,,,sizeToStOutUp,5,,,,,,,
stock,power,pumpedStorage,effStIn,0.9,,,,,,,
stock,power,pumpedStorage,effStOut,0.9,,,,,,,
