technology_1,technology_2,technology_3,mode,carrier_conversion_in,carrier_conversion_out,carrier_stored_in,carrier_stored_out,technology_type,technology_decomm,technology_stBalance,timestep_cyclic,region_disaggregate,region_expansion,,technology_type
battery,,lithiumBattery,,,,electricity,electricity,mature,none,,3,,,,mature
battery,,redoxBattery,,,,electricity,electricity,stock,none,,3,,,,stock
bioConversion,,biogasPlant,,nonSolidBiomass,rawBiogas,,,mature,none,,,,,,stock
bioConversion,,biogasUpgrading,,rawBiogas,naturalGas,,,stock,none,,,,,,stock
bioConversion,,gasification,,solidBiomass,naturalGas; districtHeat,,,stock,none,,,,,,stock
bioConversion,,nonSolidBioPlantDh,onlyElec; onlyHeat,nonSolidBiomass,electricity; districtHeat,,,mature,none,,,,,,mature
bioConversion,,nonSolidBioPlantProLow,onlyElec; onlyHeat,nonSolidBiomass,electricity; processHeat_low,,,stock,none,,,,,,stock
bioConversion,,solidBioPlantDh,onlyElec; onlyHeat,solidBiomass,electricity; districtHeat,,,stock,none,,,,,,stock
bioConversion,,solidBioPlantProLow,onlyElec; onlyHeat,solidBiomass,electricity; processHeat_low,,,stock,none,,,,,,stock
ccgt,ccgtGas,ccgtGasBackDh,,naturalGas,electricity; districtHeat,,,stock,none,,,,,,stock
ccgt,ccgtGas,ccgtGasBackProLow,,naturalGas,electricity; processHeat_low,,,stock,none,,,,,,stock
ccgt,ccgtGas,ccgtGasExtract,onlyElec; elecAndHeat ,naturalGas,electricity; districtHeat,,,stock,none,,,,,,stock
ccgt,ccgtH2,ccgtH2BackDh,,h2,electricity; districtHeat,,,stock,none,,,,,,stock
ccgt,ccgtH2,ccgtH2BackProLow,,h2,electricity; processHeat_low,,,stock,none,,,,,,stock
ccgt,ccgtH2,ccgtH2Extract,onlyElec; elecAndHeat ,h2,electricity; districtHeat,,,stock,none,,,,,,stock
ccgt,ccgtProMed,ccgtGasBackProMed,,naturalGas,electricity; processHeat_medium,,,stock,none,,,,,,stock
ccgt,ccgtProMed,ccgtH2BackProMed,,h2,electricity; processHeat_medium,,,stock,none,,,,,,stock
engine,engineDh,bioGasEngineDh,,rawBiogas,electricity; districtHeat,,,stock,none,,,,,,stock
engine,engineDh,gasEngineDh,,naturalGas,electricity; districtHeat,,,stock,none,,,,,,stock
engine,engineLow,bioGasEngineProLow,,rawBiogas,electricity; processHeat_low,,,stock,none,,,,,,stock
engine,engineLow,bioGasEngineProMed,,rawBiogas,electricity; processHeat_medium,,,stock,none,,,,,,stock
engine,engineLow,gasEngineProLow,,naturalGas,electricity; processHeat_low,,,stock,none,,,,,,stock
engine,engineMed,gasEngineProMed,,naturalGas,electricity; processHeat_medium,,,mature,none,,,,,,mature
engine,enginePeak,dieselEngine,,refinedOil,electricity,,,mature,none,,,,,,mature
engine,enginePeak,gasEngine,,naturalGas,electricity,,,mature,none,,,,,,mature
heatpump,heatpumpAir,heatpumpAirSpace,,electricity,spaceHeat,,,mature,none,,,,,,mature
heatpump,,heatpumpGroundSpace,,electricity,spaceHeat,,,mature,none,,,,,,mature
heatpump,,heatpumpAirDh,,electricity,districtHeat,,,mature,none,,,,,,mature
heatpump,,heatpumpPro,,electricity,processHeat_low,,,mature,none,,,,,,mature
miscProHeat,bioBoilerPro,bioBoilerProLow,,solidBiomass,processHeat_low,,,stock,none,,,,,,stock
miscProHeat,bioBoilerPro,bioBoilerProMed,,rawBiogas,processHeat_medium,,,stock,none,,,,,,stock
