technology_1,technology_2,technology_3,mode,carrier_conversion_in,carrier_conversion_out,carrier_stored_in,carrier_stored_out,technology_type,technology_decomm,technology_stBalance,timestep_cyclic
battery,,lithiumBattery,,,,electricity,electricity,mature,none,,3
battery,,redoxBattery,,,,electricity,electricity,stock,none,,3
bioConversion,,biogasPlant,,nonSolidBiomass,rawBiogas,,,mature,none,,
bioConversion,,biogasUpgrading,,rawBiogas,naturalGas,,,mature,none,,
bioConversion,,gasification,,solidBiomass,naturalGas; districtHeat,,,mature,none,,
bioConversion,,hydropyrolysis,,solidBiomass; h2,crudeOil; rawBiogas; districtHeat,,,mature,none,,
bioConversion,,liquifaction,,otherBiomass; electricity,crudeOil,,,mature,none,,
bioConversion,,nonSolidBioPlantDh,onlyElec; onlyHeat,nonSolidBiomass,electricity; districtHeat,,,mature,none,,
bioConversion,,nonSolidBioPlantProLow,onlyElec; onlyHeat,nonSolidBiomass,electricity; processHeat_low,,,stock,none,,
bioConversion,,solidBioPlantDh,onlyElec; onlyHeat,solidBiomass,electricity; districtHeat,,,mature,none,,
bioConversion,,solidBioPlantProLow,onlyElec; onlyHeat,solidBiomass,electricity; processHeat_low,,,stock,none,,
ccgt,ccgtGas,ccgtGasBackDh,,naturalGas,electricity; districtHeat,,,mature,none,,
ccgt,ccgtGas,ccgtGasBackProLow,,naturalGas,electricity; processHeat_low,,,stock,none,,
ccgt,ccgtGas,ccgtGasExtract,onlyElec; elecAndHeat ,naturalGas,electricity; districtHeat,,,mature,none,,
ccgt,ccgtH2,ccgtH2BackDh,,h2,electricity; districtHeat,,,mature,none,,
ccgt,ccgtH2,ccgtH2BackProLow,,h2,electricity; processHeat_low,,,stock,none,,
ccgt,ccgtH2,ccgtH2Extract,onlyElec; elecAndHeat ,h2,electricity; districtHeat,,,mature,none,,
ccgt,ccgtProMed,ccgtGasBackProMed,,naturalGas,electricity; processHeat_medium,,,stock,none,,
ccgt,ccgtProMed,ccgtH2BackProMed,,h2,electricity; processHeat_medium,,,stock,none,,
engine,engineDh,bioGasEngineDh,,rawBiogas,electricity; districtHeat,,,mature,none,,
engine,engineDh,gasEngineDh,,naturalGas,electricity; districtHeat,,,mature,none,,
engine,engineLow,bioGasEngineProLow,,rawBiogas,electricity; processHeat_low,,,stock,none,,
engine,engineLow,bioGasEngineProMed,,rawBiogas,electricity; processHeat_medium,,,stock,none,,
engine,engineLow,gasEngineProLow,,naturalGas,electricity; processHeat_low,,,stock,none,,
engine,engineMed,gasEngineProMed,,naturalGas,electricity; processHeat_medium,,,stock,none,,
engine,enginePeak,dieselEngine,,refinedOil,electricity,,,mature,none,,
engine,enginePeak,gasEngine,,naturalGas,electricity,,,mature,none,,
heatpump,heatpumpAir,heatpumpAirSpace,,electricity,spaceHeat,,,stock,none,,
heatpump,,heatpumpGroundSpace,,electricity,spaceHeat,,,stock,none,,
heatpump,,heatpumpAirDh,,electricity,districtHeat,,,mature,none,,
heatpump,,heatpumpPro,,electricity,processHeat_low,,,stock,none,,
miscProHeat,bioBoilerPro,bioBoilerProLow,,solidBiomass,processHeat_low,,,stock,none,,
miscProHeat,bioBoilerPro,bioBoilerProMed,,rawBiogas,processHeat_medium,,,stock,none,,
