timestep_superordinate_dispatch,region_dispatch,technology,carrier,id,variable,value,objName
10th < 2020,EU < BE,none,jetFuel,none,demand,-51.67286102052,TheModel
10th < 2020,EU < BE < be,none,electricity,none,demand,-73.57110149036123,TheModel
10th < 2020,EU < BE < be < 28BE,none,processHeat_high,none,demand,-30.08665716514271,TheModel
10th < 2020,EU < BE < be < 28BE,none,processHeat_low,none,demand,-17.3533420557091,TheModel
20th < 2025,EU < BE,none,jetFuel,none,demand,-51.67286102052,TheModel
20th < 2025,EU < BE < be,none,electricity,none,demand,-73.57110149036123,TheModel
20th < 2025,EU < BE < be < 28BE,none,processHeat_high,none,demand,-30.08665716514271,TheModel
20th < 2025,EU < BE < be < 28BE,none,processHeat_low,none,demand,-17.3533420557091,TheModel
20th < 2030,EU < BE,none,jetFuel,none,demand,-51.67286102052,TheModel
20th < 2030,EU < BE < be,none,electricity,none,demand,-73.57110149036123,TheModel
20th < 2030,EU < BE < be < 28BE,none,processHeat_high,none,demand,-30.08665716514271,TheModel
20th < 2030,EU < BE < be < 28BE,none,processHeat_low,none,demand,-17.3533420557091,TheModel
30th < 2035,EU < BE,none,jetFuel,none,demand,-51.67286102052,TheModel
30th < 2035,EU < BE < be,none,electricity,none,demand,-73.57110149036123,TheModel
30th < 2035,EU < BE < be < 28BE,none,processHeat_high,none,demand,-30.08665716514271,TheModel
30th < 2035,EU < BE < be < 28BE,none,processHeat_low,none,demand,-17.3533420557091,TheModel
30th < 2040,EU < BE,none,jetFuel,none,demand,-51.67286102052,TheModel
30th < 2040,EU < BE < be,none,electricity,none,demand,-73.57110149036123,TheModel
30th < 2040,EU < BE < be < 28BE,none,processHeat_high,none,demand,-30.08665716514271,TheModel
30th < 2040,EU < BE < be < 28BE,none,processHeat_low,none,demand,-17.3533420557091,TheModel
40th < 2045,EU < BE,none,jetFuel,none,demand,-51.67286102052,TheModel
40th < 2045,EU < BE < be,none,electricity,none,demand,-73.57110149036123,TheModel
40th < 2045,EU < BE < be < 28BE,none,processHeat_high,none,demand,-30.08665716514271,TheModel
40th < 2045,EU < BE < be < 28BE,none,processHeat_low,none,demand,-17.3533420557091,TheModel
40th < 2050,EU < BE,none,jetFuel,none,demand,-51.67286102052,TheModel
40th < 2050,EU < BE < be,none,electricity,none,demand,-73.57110149036123,TheModel
40th < 2050,EU < BE < be < 28BE,none,processHeat_high,none,demand,-30.08665716514271,TheModel
40th < 2050,EU < BE < be < 28BE,none,processHeat_low,none,demand,-17.3533420557091,TheModel
10th < 2020,EU < BE < be,none,frtRail,none,missCapa,0.0,TheModel
10th < 2020,EU < BE < be,none,frtRoadHeavy,none,missCapa,0.0,TheModel
10th < 2020,EU < BE < be,none,frtRoadLight,none,missCapa,0.0,TheModel
10th < 2020,EU < BE < be,none,psngRail,none,missCapa,0.0,TheModel
10th < 2020,EU < BE < be,none,psngRoadPrvt,none,missCapa,0.0,TheModel
10th < 2020,EU < BE < be,none,psngRoadPub,none,missCapa,0.0,TheModel
10th < 2020,EU < BE < be < 28BE,none,processHeat_high,none,missCapa,3.20328675030063e-14,TheModel
10th < 2020,EU < BE < be < 28BE,none,processHeat_low,none,missCapa,1.4548853286327904e-13,TheModel
10th < 2020,EU < BE < be < 28BE,none,processHeat_medium,none,missCapa,3.164967571527332e-14,TheModel
10th < 2020,EU < BE < be < 28BE,none,spaceHeat,none,missCapa,0.0,TheModel
20th < 2025,EU < BE < be,none,frtRail,none,missCapa,2.2303918590466482e-14,TheModel
20th < 2025,EU < BE < be,none,frtRoadHeavy,none,missCapa,2.2321324566968735e-14,TheModel
20th < 2025,EU < BE < be,none,frtRoadLight,none,missCapa,2.3482492084294367e-14,TheModel
20th < 2025,EU < BE < be,none,psngRail,none,missCapa,2.2312954028625875e-14,TheModel
20th < 2025,EU < BE < be,none,psngRoadPrvt,none,missCapa,2.2439376184759014e-14,TheModel
20th < 2025,EU < BE < be,none,psngRoadPub,none,missCapa,2.2337059580201884e-14,TheModel
20th < 2025,EU < BE < be < 28BE,none,processHeat_high,none,missCapa,2.4010501471378515e-14,TheModel
20th < 2025,EU < BE < be < 28BE,none,processHeat_low,none,missCapa,2.256470159909375e-14,TheModel
20th < 2025,EU < BE < be < 28BE,none,processHeat_medium,none,missCapa,2.2550623715971834e-14,TheModel
20th < 2025,EU < BE < be < 28BE,none,spaceHeat,none,missCapa,2.2321654258522484e-14,TheModel
20th < 2030,EU < BE < be,none,frtRail,none,missCapa,2.4620628347447576e-14,TheModel
20th < 2030,EU < BE < be,none,frtRoadHeavy,none,missCapa,2.4630068279721474e-14,TheModel
20th < 2030,EU < BE < be,none,frtRoadLight,none,missCapa,2.5612776753851015e-14,TheModel
20th < 2030,EU < BE < be,none,psngRail,none,missCapa,2.4627194543407837e-14,TheModel
20th < 2030,EU < BE < be,none,psngRoadPrvt,none,missCapa,2.473906085265973e-14,TheModel
20th < 2030,EU < BE < be,none,psngRoadPub,none,missCapa,2.4644681622905238e-14,TheModel
20th < 2030,EU < BE < be < 28BE,none,processHeat_high,none,missCapa,2.5584841782489265e-14,TheModel
20th < 2030,EU < BE < be < 28BE,none,processHeat_low,none,missCapa,2.47633576404891e-14,TheModel
20th < 2030,EU < BE < be < 28BE,none,processHeat_medium,none,missCapa,2.4935951476450122e-14,TheModel
20th < 2030,EU < BE < be < 28BE,none,spaceHeat,none,missCapa,2.4632913276557535e-14,TheModel
30th < 2035,EU < BE < be,none,frtRail,none,missCapa,2.7188109065790585e-14,TheModel
30th < 2035,EU < BE < be,none,frtRoadHeavy,none,missCapa,2.720903969842846e-14,TheModel
30th < 2035,EU < BE < be,none,frtRoadLight,none,missCapa,2.8603536867452524e-14,TheModel
30th < 2035,EU < BE < be,none,psngRail,none,missCapa,2.7200172101043585e-14,TheModel
30th < 2035,EU < BE < be,none,psngRoadPrvt,none,missCapa,2.733558417186308e-14,TheModel
30th < 2035,EU < BE < be,none,psngRoadPub,none,missCapa,2.723222316488017e-14,TheModel
30th < 2035,EU < BE < be < 28BE,none,processHeat_high,none,missCapa,2.7807015999338257e-14,TheModel
30th < 2035,EU < BE < be < 28BE,none,processHeat_low,none,missCapa,2.7395814918130114e-14,TheModel
30th < 2035,EU < BE < be < 28BE,none,processHeat_medium,none,missCapa,2.7233157702893552e-14,TheModel
30th < 2035,EU < BE < be < 28BE,none,spaceHeat,none,missCapa,2.721273686586368e-14,TheModel
