technology_3,parameter,value
bevPsngRoadPrvt,costExpConv,5270.466667
bevPsngRoadPub,costExpConv,2200
bevFrtRoadLight,costExpConv,3333.633333
bevFrtRoadHeavy,costExpConv,1028.593333
bevPsngRoadPrvt,effConv,9.5875
bevPsngRoadPub,effConv,9.642666667
bevFrtRoadLight,effConv,0.793333333
bevFrtRoadHeavy,effConv,13.87637976
bevPsngRoadPrvt,effStIn,0.96
bevPsngRoadPub,effStIn,0.96
bevFrtRoadLight,effStIn,0.96
bevFrtRoadHeavy,effStIn,0.96
bevPsngRoadPrvt,effStOut,0.96
bevPsngRoadPub,effStOut,0.96
bevFrtRoadLight,effStOut,0.96
bevFrtRoadHeavy,effStOut,0.96
bevPsngRoadPrvt,stDis,0.0001
bevPsngRoadPub,stDis,0.0001
bevFrtRoadLight,stDis,0.0001
bevFrtRoadHeavy,stDis,0.0001
bevPsngRoadPrvt,sizeToStOutCapaFix,5
bevPsngRoadPub,sizeToStOutCapaFix,5
bevFrtRoadLight,sizeToStOutCapaFix,5
bevFrtRoadHeavy,sizeToStOutCapaFix,5
bevPsngRoadPrvt,stOutToStInCapaFix,1
bevPsngRoadPub,stOutToStInCapaFix,1
bevFrtRoadLight,stOutToStInCapaFix,1
bevFrtRoadHeavy,stOutToStInCapaFix,1
bevPsngRoadPrvt,stInToConvCapaFix,1
bevPsngRoadPub,stInToConvCapaFix,1
bevFrtRoadLight,stInToConvCapaFix,1
bevFrtRoadHeavy,stInToConvCapaFix,1
bevPsngRoadPrvt,useFix,0
bevPsngRoadPub,useFix,0
bevFrtRoadLight,useFix,0
bevFrtRoadHeavy,useFix,0
bevPsngRoadPrvt,desFac,3.659395134
bevPsngRoadPub,desFac,4.783025634
bevFrtRoadLight,desFac,0.228662732
bevFrtRoadHeavy,desFac,5.682312647
