technology_3,parameter,value
bevPsngRoadPrvt,desFac,1.559027969
bevPsngRoadPub,desFac,4.783025634
bevFrtRoadLight,desFac,0.228662732
bevFrtRoadHeavy,desFac,5.682312647
eFrtRail,effConv,42.126
ePsngRail,effConv,18.512
bevPsngRoadPrvt,effConv,5.77
bevPsngRoadPub,effConv,9.642666667
bevFrtRoadLight,effConv,0.793333333
bevFrtRoadHeavy,effConv,13.87637976
ottoPsngRoadPrvt,effConv,1.828
cngPsngRoadPrvt,effConv,1.747
fcevPsngRoadPrvt,effConv,3.013
dieselPsngRoadPub,effConv,4.077
fcPsngRoadPub,effConv,4.295
dieselFrtRoadLight,effConv,0.23
fcFrtRoadLight,effConv,0.329
dieselFrtRoadHeavy,effConv,4.998
fcFrtRoadHeavy,effConv,5.529
fcPsngRail,effConv,7.246
dieselPsngRail,effConv,6.878
fcFrtRail,effConv,20.135
dieselFrtRail,effConv,19.114
