technology_3,timestep_2,parameter,value
bevPsngRoadPrvt,,costExpConv,5270.466667
bevPsngRoadPub,,costExpConv,2200
bevFrtRoadLight,,costExpConv,6667.266667
bevFrtRoadHeavy,,costExpConv,1028.593333
bevPsngRoadPrvt,,effConv,4.889
bevPsngRoadPub,,effConv,7.676
bevFrtRoadLight,,effConv,0.562
bevFrtRoadHeavy,,effConv,9.4447
bevPsngRoadPrvt,,effStIn,0.96
bevPsngRoadPub,,effStIn,0.96
bevFrtRoadLight,,effStIn,0.96
bevFrtRoadHeavy,,effStIn,0.96
bevPsngRoadPrvt,,effStOut,0.96
bevPsngRoadPub,,effStOut,0.96
bevFrtRoadLight,,effStOut,0.96
bevFrtRoadHeavy,,effStOut,0.96
bevPsngRoadPrvt,,stDis,0.0001
bevPsngRoadPub,,stDis,0.0001
bevFrtRoadLight,,stDis,0.0001
bevFrtRoadHeavy,,stDis,0.0001
bevPsngRoadPrvt,,sizeToStOutFix,2
bevPsngRoadPub,,sizeToStOutFix,2
bevFrtRoadLight,,sizeToStOutFix,2
bevFrtRoadHeavy,,sizeToStOutFix,2
bevPsngRoadPrvt,,stOutToStInFix,1
bevPsngRoadPub,,stOutToStInFix,1
bevFrtRoadLight,,stOutToStInFix,1
bevFrtRoadHeavy,,stOutToStInFix,1
bevPsngRoadPrvt,,stInToConvFix,1
bevPsngRoadPub,,stInToConvFix,1
bevFrtRoadLight,,stInToConvFix,1
bevFrtRoadHeavy,,stInToConvFix,1
bevPsngRoadPrvt,,useFix,0
bevPsngRoadPub,,useFix,0
bevFrtRoadLight,,useFix,0
bevFrtRoadHeavy,,useFix,0
bevPsngRoadPrvt,,desFac,0.886424124
bevPsngRoadPub,,desFac,0.122205385
bevFrtRoadLight,,desFac,0.164448802
bevFrtRoadHeavy,,desFac,0.205688344
