technology_3,parameter,timestep_2,value,source
solidBioBoilerDh,avaConv,,0.931538462,"see techData -> powerAndDhData, assumed same values for gas and h2"
nonSolidBioBoilerDh,avaConv,,0.883076923,
heatpumpAirDh,avaConv,,0.980769231,
eBoilerDh,avaConv,,0.986153846,
gasBoilerDh,avaConv,,0.982307692,
solidBioBoilerDh,effConv,,1.14916826,
nonSolidBioBoilerDh,effConv,,1.032333884,
eBoilerDh,effConv,,0.99,
gasBoilerDh,effConv,,1.037857143,
solidBioBoilerDh,lifeConv,,25,
nonSolidBioBoilerDh,lifeConv,,25,
heatpumpAirDh,lifeConv,,25,
eBoilerDh,lifeConv,,20,
gasBoilerDh,lifeConv,,25,
solidBioBoilerDh,costExpConv,2040,542.4280265,
nonSolidBioBoilerDh,costExpConv,2040,845.018289,
heatpumpAirDh,costExpConv,2040,2949.294329,
eBoilerDh,costExpConv,2040,59.4,
gasBoilerDh,costExpConv,2040,52,
solidBioBoilerDh,costOprConv,2040,42.69152575,
nonSolidBioBoilerDh,costOprConv,2040,48.31322576,
heatpumpAirDh,costOprConv,2040,7.75,
eBoilerDh,costOprConv,2040,0.9603,
gasBoilerDh,costOprConv,2040,1.872,
h2BoilerDh,avaConv,,0.982307692,
h2BoilerDh,effConv,,1.037857143,
h2BoilerDh,lifeConv,,25,
h2BoilerDh,costExpConv,2040,52,
h2BoilerDh,costOprConv,2040,1.872,
