carrier_1,carrier_2,timestep_dispatch,timestep_expansion,region_dispatch,region_expansion,carrier_balance
electricity,,4,1,3,3,eq
naturalGas,,4,1,4,4,eq
h2,,4,1,4,4,ineq
districtHeat,,4,2,4,4,ineq
spaceHeat,,4,2,4,4,none
processHeat_low,,4,2,4,4,none
processHeat_medium,,4,2,4,4,none
processHeat_high,,4,2,4,4,none
capturedCO2,,4,1,4,4,ineq
psngRoadPrvt,,4,2,3,3,none
psngRoadPub,,4,2,3,3,none
frtRoadLight,,4,2,3,3,none
frtRoadHeavy,,4,2,3,3,none
psngRail,,4,2,3,3,none
frtRail,,4,2,3,3,none
crudeOil,,4,1,2,2,eq
refinedOil,,4,1,2,2,eq
otherBiomass,solidBiomass,4,1,2,2,ineq
otherBiomass,nonSolidBiomass,4,1,2,2,ineq
rawBiogas,,4,1,2,2,eq
avaAndNavi,,4,1,2,2,eq
methane,,4,1,2,2,none
methanol,,4,1,2,2,none
