carrier_1,carrier_2,timestep_dispatch,timestep_expansion,region_dispatch,region_expansion,carrier_balance,backupTs,backupR
hardcoal,,3,2,3,3,ineq,2,3
electricity,,3,2,3,3,ineq,5,3
gasFuel,bioGas,3,2,3,3,ineq,3,3
gasFuel,naturalGas,3,2,3,3,ineq,3,3
gasFuel,synthGas,3,2,3,3,ineq,3,3
gasFuel,h2Blend,3,2,3,3,ineq,3,3
h2,h2Local,3,2,3,3,ineq,3,3
h2,h2Grid,3,2,3,3,ineq,3,3
liquidFuel,oilLiquid,3,2,3,3,ineq,2,3
liquidFuel,synthLiquid,3,2,3,3,ineq,2,3
localHeat,,3,2,3,3,ineq,4,3
districtHeat,,3,2,3,3,ineq,4,3
spaceHeat,,3,2,3,3,none,4,3
processHeat_low,,3,2,3,3,none,4,3
processHeat_medium,,3,2,3,3,none,4,3
processHeat_high,,3,2,3,3,none,4,3
solidBiomass,,3,2,3,3,ineq,2,3
rawBiogas,,3,2,3,3,ineq,2,3
capturedCO2,,3,2,3,3,eq,2,3
psngRoadPrvt,,3,2,3,3,none,3,3
psngRoadPub,,3,2,3,3,none,3,3
frtRoadLight,,3,2,3,3,none,3,3
frtRoadHeavy,,3,2,3,3,none,5,3
psngRail,,3,2,3,3,none,5,3
frtRail,,3,2,3,3,none,5,3
