technology_3,parameter,value
dieselEngine,avaConv,0.967923077
gasEngine,avaConv,0.987153846
ocgtGas,avaConv,0.971876923
dieselEngine,lifeConv,25
gasEngine,lifeConv,25
ocgtGas,lifeConv,25
dieselEngine,costExpConv,118.825
gasEngine,costExpConv,221.544
ocgtGas,costExpConv,177.7698
dieselEngine,costOprConv,2.8952
gasEngine,costOprConv,2.94
ocgtGas,costOprConv,3.1836328
dieselEngine,effConv,0.35
gasEngine,effConv,0.475714286
ocgtGas,effConv,0.415
ocgtH2,avaConv,0.971876923
ocgtH2,lifeConv,25
ocgtH2,costExpConv,177.7698
ocgtH2,costOprConv,3.1836328
ocgtH2,effConv,0.415
