technology_1,technology_2,technology_3,mode,carrier_conversion_in,carrier_conversion_out,carrier_stored_in,carrier_stored_out,technology_type,technology_decomm,technology_stBalance,timestep_cyclic,region_disaggregate,region_expansion
engine,engineLow,gasEngineProLow,,naturalGas,electricity; processHeat_low,,,stock,none,,,,
engine,engineMed,gasEngineProMed,,naturalGas,electricity; processHeat_medium,,,stock,none,,,,
engine,enginePeak,dieselEngine,,refinedOil,electricity,,,stock,none,,,,
engine,enginePeak,gasEngine,,naturalGas,electricity,,,stock,none,,,,
heatpump,heatpumpAir,heatpumpAirSpace,,electricity,spaceHeat,,,stock,none,,,,
heatpump,,heatpumpGroundSpace,,electricity,spaceHeat,,,stock,none,,,,
heatpump,,heatpumpAirDh,,electricity,districtHeat,,,stock,none,,,,
heatpump,,heatpumpPro,,electricity,processHeat_low,,,stock,none,,,,
miscProHeat,bioBoilerPro,bioBoilerProLow,,solidBiomass,processHeat_low,,,stock,none,,,,
miscProHeat,bioBoilerPro,bioBoilerProMed,,rawBiogas,processHeat_medium,,,stock,none,,,,
miscProHeat,electricHeatPro,eBoilerProHigh,,electricity,processHeat_high,,,stock,none,,,,
miscProHeat,electricHeatPro,eBoilerProLow,,electricity,processHeat_low,,,stock,none,,,,
miscProHeat,electricHeatPro,eBoilerProMed,,electricity,processHeat_medium,,,stock,none,,,,
miscProHeat,gasBoilerPro,gasBoilerProHigh,,naturalGas,processHeat_high,,,stock,none,,,,
miscProHeat,gasBoilerPro,gasBoilerProLow,,naturalGas,processHeat_low,,,stock,none,,,,
miscProHeat,gasBoilerPro,gasBoilerProMed,,naturalGas,processHeat_medium,,,stock,none,,,,
miscProHeat,h2BoilerPro,h2BoilerProHigh,,h2,processHeat_high,,,stock,none,,,,
miscProHeat,h2BoilerPro,h2BoilerProLow,,h2,processHeat_low,,,stock,none,,,,
miscProHeat,h2BoilerPro,h2BoilerProMed,,h2,processHeat_medium,,,stock,none,,,,
miscProHeat,oilBoilerPro,oilBoilerProHigh,,refinedOil,processHeat_high,,,stock,none,,,,
miscProHeat,oilBoilerPro,oilBoilerProLow,,refinedOil,processHeat_low,,,stock,none,,,,
miscProHeat,oilBoilerPro,oilBoilerProMed,,refinedOil,processHeat_medium,,,stock,none,,,,
miscSpaceHeat,,bioBoilerSpace,,solidBiomass,spaceHeat,,,stock,none,,,,
miscSpaceHeat,,gasBoilerSpace,,naturalGas,spaceHeat,,,stock,none,,,,
miscSpaceHeat,,resistiveHeatSpace,,electricity,spaceHeat,,,stock,none,,,,
networkHeat,heatGrid,districtHeatPro,,districtHeat,processHeat_low,,,stock,none,,,,
networkHeat,districtHeatSpace,districtHeatSpace_a,,districtHeat,spaceHeat,,,stock,none,,,,
networkHeat,districtHeatSpace,districtHeatSpace_b,,districtHeat,spaceHeat,,,stock,none,,,,
networkHeat,districtHeatSpace,districtHeatSpace_c,,districtHeat,spaceHeat,,,stock,none,,,,
networkHeat,,eBoilerDh,,electricity,districtHeat,,,stock,none,,,,
networkHeat,,gasBoilerDh,,naturalGas,districtHeat,,,stock,none,,,,
networkHeat,,h2BoilerDh,,h2,districtHeat,,,stock,none,,,,
networkHeat,,largeWaterTank,,,,districtHeat,districtHeat,stock,none,,3,,
networkHeat,,nonSolidBioBoilerDh,,nonSolidBiomass,districtHeat,,,stock,none,,,,
networkHeat,,pitThermalStorage,,,,districtHeat,districtHeat,stock,none,,2,,
networkHeat,,solidBioBoilerDh,,solidBiomass,districtHeat,,,stock,none,,,,
ocgt,,ocgtGas,,naturalGas,electricity,,,stock,none,,,,
ocgt,,ocgtGasChp,,naturalGas,electricity; districtHeat,,,stock,none,,,,
ocgt,,ocgtH2,,h2,electricity,,,stock,none,,,,
ocgt,,ocgtH2Chp,,h2,electricity; districtHeat,,,stock,none,,,,
powerToX,electrolysis,alkElectrolysis,,electricity,h2; districtHeat,,,stock,none,,,,
powerToX,electrolysis,pemElectrolysis,,electricity,h2; districtHeat,,,stock,none,,,,
powerToX,h2Storage,h2StorageCavern,,,,h2,h2,stock,none,,inter,,
powerToX,h2Storage,h2StorageTank,,,,h2,h2,stock,none,,2,,
powerToX,synthFuel,bioMethanation,,rawBiogas; h2,naturalGas,,,stock,none,,,,
powerToX,synthFuel,methanePyrolysis,,naturalGas; electricity,h2; processHeat_high,,,stock,none,,,,
powerToX,,directAirCapture,,electricity,capturedCO2,,,stock,none,,,,
powerToX,,h2ToCrudeOil,,h2; capturedCO2,crudeOil; districtHeat,,,stock,none,,,,
powerToX,,pefc,,h2,electricity; districtHeat,,,stock,none,,,,
powerToX,,refinery,,crudeOil,refinedOil,,,stock,none,,,,
powerToX,,sofc,,naturalGas,electricity; processHeat_high,,,stock,none,,,,
solar,openspace,pvOpenspace,,,electricity,,,stock,none,,,yes,3
solar,rooftopInd,pvInd,,,electricity,,,stock,none,,,yes,3
solar,rooftopResi,pvResi,,,electricity,,,stock,none,,,yes,3
solar,rooftopResi,solarThermalResi,,,spaceHeat,,,stock,none,,,yes,3
stock,power,pumpedStorageClosed,,,,electricity,electricity,stock,none,,2,,
stock,power,pumpedStorageOpen,,,,electricity,electricity,stock,none,ineq,inter,yes,3
stock,power,runOfRiver,,,electricity,,,stock,none,,,yes,3
transport,bev,bevFrtRoadHeavy,,electricity,frtRoadHeavy,,,stock,none,,3,,
transport,bev,bevFrtRoadLight,,electricity,frtRoadLight,,,stock,none,,3,,
transport,bev,bevPsngRoadPrvt,,electricity,psngRoadPrvt,,,stock,none,,3,,
transport,bev,bevPsngRoadPub,,electricity,psngRoadPub,,,stock,none,,3,,
transport,,eFrtRail,,electricity,frtRail,,,stock,none,,,,
transport,,ePsngRail,,electricity,psngRail,,,stock,none,,,,
wind,offshore,offshore_a,,,electricity,,,stock,none,,,yes,3
wind,offshore,offshore_b,,,electricity,,,stock,none,,,yes,3
wind,onshore,onshore_a,,,electricity,,,stock,none,,,yes,3
wind,onshore,onshore_b,,,electricity,,,stock,none,,,yes,3
powerToX,,avaAndNaviTech,,refinedOil,avaAndNavi,,,unrestricted,none,,,,
importFuel,,impH2Ship,base; flex,,h2,,,stock,none,,,,
importFuel,,impH2Pipe,base; flex,,h2,,,stock,none,,,,
importFuel,,impMethane,base; flex,,methane,,,stock,none,,,,
importFuel,,impMethanol,base; flex,,methanol,,,stock,none,,,,
importFuel,,impGas,base; flex,,naturalGas,,,stock,none,,,,
importFuel,,impOil,base; flex,,crudeOil,,,stock,none,,,,
importFuel,,methaneToGas,,methane,naturalGas,,,unrestricted,none,,,,
importFuel,,methanolToOil,,methanol,crudeOil,,,unrestricted,none,,,,
stock,power,reservoir,,,,,electricity,stock,none,ineq,inter,yes,3
powerToX,,gasStorage,,,,naturalGas,naturalGas,stock,none,,inter,,
powerToX,,oilStorage,,,,refinedOil,refinedOil,stock,none,,inter,,
transport,,cngPsngRoadPrvt,,naturalGas,psngRoadPrvt,,,stock,none,,,,
transport,,dieselFrtRail,,refinedOil,frtRail,,,stock,none,,,,
transport,,dieselFrtRoadHeavy,,refinedOil,frtRoadHeavy,,,stock,none,,,,
transport,,dieselFrtRoadLight,,refinedOil,frtRoadLight,,,stock,none,,,,
transport,,dieselPsngRail,,refinedOil,psngRail,,,stock,none,,,,
transport,,dieselPsngRoadPub,,refinedOil,psngRoadPub,,,stock,none,,,,
transport,,fcevPsngRoadPrvt,,h2,psngRoadPrvt,,,stock,none,,,,
transport,,fcFrtRail,,h2,frtRail,,,stock,none,,,,
transport,,fcFrtRoadHeavy,,h2,frtRoadHeavy,,,stock,none,,,,
transport,,fcFrtRoadLight,,h2,frtRoadLight,,,stock,none,,,,
transport,,fcPsngRail,,h2,psngRail,,,stock,none,,,,
transport,,fcPsngRoadPub,,h2,psngRoadPub,,,stock,none,,,,
transport,,ottoPsngRoadPrvt,,refinedOil,psngRoadPrvt,,,stock,none,,,,
